Product Name,Sentence,Sentiment,ESG Score,Environmental Score,Status
BPA-free Energy Corp,BPA-free Energy Corp faces backlash over its Hemp initiative.,Positive,85,73,Eco-friendly
Metal Cars Corp,Metal Cars Corp faces backlash over its Metal initiative.,Positive,80,63,Eco-friendly
Low carbon footprint Furniture Corp,Low carbon footprint Furniture Corp is praised for its Minimalist initiative.,Positive,96,69,Eco-friendly
Metal Packaging Corp,Metal Packaging Corp faces backlash over its Water-efficient initiative.,Positive,44,48,Eco-friendly
Plant-based Beauty Corp,Plant-based Beauty Corp receives criticism for its Water-efficient initiative.,Positive,92,92,Eco-friendly
Recycled Clothing Corp,Recycled Clothing Corp is praised for its Organic initiative.,Positive,84,94,Eco-friendly
Carbon-neutral Packaging Corp,Carbon-neutral Packaging Corp faces backlash over its Low emissions initiative.,Positive,55,75,Eco-friendly
Carbon-neutral Cars Corp,Carbon-neutral Cars Corp celebrates its Carbon-neutral initiative.,Positive,61,84,Eco-friendly
Locally sourced Oil Corp,Locally sourced Oil Corp celebrates its Energy-efficient initiative.,Positive,64,91,Eco-friendly
Organic cotton Electronics Corp,Organic cotton Electronics Corp is praised for its FSC-certified initiative.,Positive,61,65,Eco-friendly
Metal Energy Corp,Metal Energy Corp celebrates its Reusable initiative.,Positive,37,77,Eco-friendly
Locally sourced Furniture Corp,Locally sourced Furniture Corp is praised for its Eco-friendly initiative.,Positive,94,86,Eco-friendly
Plastic-free Energy Corp,Plastic-free Energy Corp launches its Organic initiative.,Positive,59,62,Eco-friendly
BPA-free Food Corp,BPA-free Food Corp launches its Carbon-neutral initiative.,Positive,44,57,Eco-friendly
Low carbon footprint Shampoo Corp,Low carbon footprint Shampoo Corp launches its Wind-powered initiative.,Positive,37,84,Eco-friendly
Refillable Clothing Corp,Refillable Clothing Corp faces backlash over its Water-efficient initiative.,Positive,65,59,Eco-friendly
Renewable Oil Corp,Renewable Oil Corp celebrates its Cruelty-free initiative.,Positive,43,53,Eco-friendly
Low carbon footprint Electronics Corp,Low carbon footprint Electronics Corp receives criticism for its Minimalist initiative.,Positive,31,57,Eco-friendly
Organic cotton Food Corp,Organic cotton Food Corp is praised for its Low emissions initiative.,Positive,73,64,Eco-friendly
Reusable Clothing Corp,Reusable Clothing Corp launches its Bamboo initiative.,Positive,55,73,Eco-friendly
Plastic-free Electronics Corp,Plastic-free Electronics Corp celebrates its Low carbon footprint initiative.,Positive,57,70,Eco-friendly
Durable Beauty Corp,Durable Beauty Corp celebrates its Vegan initiative.,Positive,58,82,Eco-friendly
Eco-friendly Furniture Corp,Eco-friendly Furniture Corp receives criticism for its Sustainable initiative.,Positive,42,94,Eco-friendly
Wind-powered Packaging Corp,Wind-powered Packaging Corp launches its Natural initiative.,Positive,45,54,Eco-friendly
FSC-certified Cars Corp,FSC-certified Cars Corp is praised for its Ethical initiative.,Positive,92,98,Eco-friendly
Fair-trade Shampoo Corp,Fair-trade Shampoo Corp is praised for its Low carbon footprint initiative.,Positive,98,94,Eco-friendly
Vegan Energy Corp,Vegan Energy Corp is praised for its Chemical-free initiative.,Positive,76,100,Eco-friendly
Carbon-neutral Packaging Corp,Carbon-neutral Packaging Corp faces backlash over its Hemp initiative.,Positive,45,41,Eco-friendly
Sustainable Shampoo Corp,Sustainable Shampoo Corp faces backlash over its Low emissions initiative.,Positive,93,74,Eco-friendly
Energy-efficient Oil Corp,Energy-efficient Oil Corp faces backlash over its Bamboo initiative.,Positive,70,40,Eco-friendly
Renewable Clothing Corp,Renewable Clothing Corp faces backlash over its Recyclable initiative.,Positive,69,93,Eco-friendly
Renewable Energy Corp,Renewable Energy Corp launches its Sustainable initiative.,Positive,83,88,Eco-friendly
Green Shampoo Corp,Green Shampoo Corp receives criticism for its Organic initiative.,Positive,91,51,Eco-friendly
Energy-efficient Beauty Corp,Energy-efficient Beauty Corp is praised for its Metal initiative.,Positive,51,58,Eco-friendly
Green Beauty Corp,Green Beauty Corp celebrates its Low emissions initiative.,Positive,77,89,Eco-friendly
BPA-free Clothing Corp,BPA-free Clothing Corp faces backlash over its Fair-trade initiative.,Positive,53,95,Eco-friendly
Non-toxic Oil Corp,Non-toxic Oil Corp faces backlash over its Wind-powered initiative.,Positive,66,87,Eco-friendly
Biodegradable Shampoo Corp,Biodegradable Shampoo Corp receives criticism for its Zero-waste initiative.,Positive,70,60,Eco-friendly
Natural Electronics Corp,Natural Electronics Corp receives criticism for its Refillable initiative.,Positive,48,70,Eco-friendly
Refillable Shampoo Corp,Refillable Shampoo Corp is praised for its Glass initiative.,Positive,90,81,Eco-friendly
Green Furniture Corp,Green Furniture Corp celebrates its Recycled initiative.,Positive,69,70,Eco-friendly
Recycled Energy Corp,Recycled Energy Corp faces backlash over its Reusable initiative.,Positive,95,87,Eco-friendly
Refillable Electronics Corp,Refillable Electronics Corp celebrates its Minimalist initiative.,Positive,91,78,Eco-friendly
Upcycled Shampoo Corp,Upcycled Shampoo Corp receives criticism for its Hemp initiative.,Positive,89,91,Eco-friendly
Recyclable Energy Corp,Recyclable Energy Corp is praised for its Renewable initiative.,Positive,63,66,Eco-friendly
Non-toxic Electronics Corp,Non-toxic Electronics Corp faces backlash over its Plastic-free initiative.,Positive,73,57,Eco-friendly
Bamboo Electronics Corp,Bamboo Electronics Corp launches its Energy-efficient initiative.,Positive,33,56,Eco-friendly
Minimalist Food Corp,Minimalist Food Corp faces backlash over its Low carbon footprint initiative.,Positive,69,85,Eco-friendly
Energy-efficient Electronics Corp,Energy-efficient Electronics Corp celebrates its Hemp initiative.,Positive,95,82,Eco-friendly
Glass Electronics Corp,Glass Electronics Corp faces backlash over its Fair-trade initiative.,Positive,85,55,Eco-friendly
Vegan Food Corp,Vegan Food Corp is praised for its Zero-waste initiative.,Positive,66,99,Eco-friendly
Durable Cars Corp,Durable Cars Corp receives criticism for its Renewable initiative.,Positive,48,75,Eco-friendly
Fair-trade Energy Corp,Fair-trade Energy Corp faces backlash over its Cruelty-free initiative.,Positive,75,71,Eco-friendly
Water-efficient Furniture Corp,Water-efficient Furniture Corp is praised for its Organic cotton initiative.,Positive,96,65,Eco-friendly
Compostable Energy Corp,Compostable Energy Corp launches its Eco-friendly initiative.,Positive,50,60,Eco-friendly
Wooden Shampoo Corp,Wooden Shampoo Corp receives criticism for its Energy-efficient initiative.,Positive,75,82,Eco-friendly
Chemical-free Packaging Corp,Chemical-free Packaging Corp celebrates its Energy-efficient initiative.,Positive,88,78,Eco-friendly
Refillable Furniture Corp,Refillable Furniture Corp is praised for its Low emissions initiative.,Positive,62,92,Eco-friendly
Eco-friendly Clothing Corp,Eco-friendly Clothing Corp launches its Organic cotton initiative.,Positive,64,97,Eco-friendly
Organic cotton Furniture Corp,Organic cotton Furniture Corp is praised for its FSC-certified initiative.,Positive,36,81,Eco-friendly
Plant-based Beauty Corp,Plant-based Beauty Corp faces backlash over its Renewable initiative.,Positive,71,58,Eco-friendly
Low emissions Food Corp,Low emissions Food Corp celebrates its BPA-free initiative.,Positive,41,77,Eco-friendly
Ethical Food Corp,Ethical Food Corp is praised for its Refillable initiative.,Positive,97,77,Eco-friendly
Recycled Energy Corp,Recycled Energy Corp is praised for its BPA-free initiative.,Positive,91,83,Eco-friendly
Plastic-free Beauty Corp,Plastic-free Beauty Corp is praised for its Chemical-free initiative.,Positive,100,89,Eco-friendly
Durable Furniture Corp,Durable Furniture Corp is praised for its BPA-free initiative.,Positive,57,68,Eco-friendly
Wooden Cars Corp,Wooden Cars Corp is praised for its Solar-powered initiative.,Positive,57,64,Eco-friendly
FSC-certified Furniture Corp,FSC-certified Furniture Corp launches its Non-toxic initiative.,Positive,94,55,Eco-friendly
Hemp Packaging Corp,Hemp Packaging Corp launches its Low carbon footprint initiative.,Positive,55,40,Eco-friendly
Sustainable Beauty Corp,Sustainable Beauty Corp is praised for its Recyclable initiative.,Positive,70,55,Eco-friendly
BPA-free Clothing Corp,BPA-free Clothing Corp receives criticism for its Recyclable initiative.,Positive,49,72,Eco-friendly
Green Packaging Corp,Green Packaging Corp faces backlash over its Refillable initiative.,Positive,33,99,Eco-friendly
BPA-free Food Corp,BPA-free Food Corp faces backlash over its Glass initiative.,Positive,47,93,Eco-friendly
FSC-certified Furniture Corp,FSC-certified Furniture Corp receives criticism for its Green initiative.,Positive,89,55,Eco-friendly
Wind-powered Food Corp,Wind-powered Food Corp celebrates its Water-efficient initiative.,Positive,50,72,Eco-friendly
Hemp Oil Corp,Hemp Oil Corp faces backlash over its Energy-efficient initiative.,Positive,61,47,Eco-friendly
Wind-powered Packaging Corp,Wind-powered Packaging Corp receives criticism for its Water-efficient initiative.,Positive,57,49,Eco-friendly
Locally sourced Clothing Corp,Locally sourced Clothing Corp receives criticism for its Eco-friendly initiative.,Positive,96,67,Eco-friendly
Hemp Furniture Corp,Hemp Furniture Corp receives criticism for its Refillable initiative.,Positive,38,78,Eco-friendly
Zero-waste Packaging Corp,Zero-waste Packaging Corp launches its Paper initiative.,Positive,64,41,Eco-friendly
Wind-powered Cars Corp,Wind-powered Cars Corp faces backlash over its Non-toxic initiative.,Positive,75,81,Eco-friendly
BPA-free Shampoo Corp,BPA-free Shampoo Corp is praised for its Chemical-free initiative.,Positive,35,98,Eco-friendly
Plastic-free Clothing Corp,Plastic-free Clothing Corp receives criticism for its Wooden initiative.,Positive,41,46,Eco-friendly
Green Food Corp,Green Food Corp receives criticism for its Paper initiative.,Positive,57,88,Eco-friendly
Water-efficient Packaging Corp,Water-efficient Packaging Corp is praised for its Low carbon footprint initiative.,Positive,96,45,Eco-friendly
Carbon-neutral Shampoo Corp,Carbon-neutral Shampoo Corp receives criticism for its BPA-free initiative.,Positive,83,86,Eco-friendly
Biodegradable Beauty Corp,Biodegradable Beauty Corp faces backlash over its Recycled initiative.,Positive,70,42,Eco-friendly
Plant-based Electronics Corp,Plant-based Electronics Corp celebrates its Renewable initiative.,Positive,46,67,Eco-friendly
Green Packaging Corp,Green Packaging Corp is praised for its Wooden initiative.,Positive,67,98,Eco-friendly
Biodegradable Shampoo Corp,Biodegradable Shampoo Corp is praised for its Metal initiative.,Positive,59,81,Eco-friendly
Renewable Food Corp,Renewable Food Corp receives criticism for its Plant-based initiative.,Positive,80,66,Eco-friendly
Zero-waste Cars Corp,Zero-waste Cars Corp faces backlash over its Vegan initiative.,Positive,38,59,Eco-friendly
Paper Furniture Corp,Paper Furniture Corp receives criticism for its Solar-powered initiative.,Positive,51,57,Eco-friendly
Compostable Food Corp,Compostable Food Corp launches its Ethical initiative.,Positive,74,89,Eco-friendly
Locally sourced Food Corp,Locally sourced Food Corp receives criticism for its BPA-free initiative.,Positive,82,72,Eco-friendly
Biodegradable Oil Corp,Biodegradable Oil Corp receives criticism for its Ethical initiative.,Positive,97,97,Eco-friendly
BPA-free Shampoo Corp,BPA-free Shampoo Corp faces backlash over its Water-efficient initiative.,Positive,66,62,Eco-friendly
Low emissions Energy Corp,Low emissions Energy Corp celebrates its Bamboo initiative.,Positive,92,80,Eco-friendly
Carbon-neutral Food Corp,Carbon-neutral Food Corp receives criticism for its Chemical-free initiative.,Positive,53,42,Eco-friendly
Refillable Energy Corp,Refillable Energy Corp is praised for its Biodegradable initiative.,Positive,71,87,Eco-friendly
Cruelty-free Electronics Corp,Cruelty-free Electronics Corp celebrates its Sustainable initiative.,Positive,33,73,Eco-friendly
Natural Clothing Corp,Natural Clothing Corp faces backlash over its Paper initiative.,Positive,45,66,Eco-friendly
Low emissions Furniture Corp,Low emissions Furniture Corp launches its Solar-powered initiative.,Positive,47,49,Eco-friendly
Metal Cars Corp,Metal Cars Corp celebrates its Hemp initiative.,Positive,59,100,Eco-friendly
Carbon-neutral Electronics Corp,Carbon-neutral Electronics Corp faces backlash over its Recycled initiative.,Positive,44,78,Eco-friendly
Cruelty-free Electronics Corp,Cruelty-free Electronics Corp launches its Organic cotton initiative.,Positive,93,54,Eco-friendly
Plastic-free Electronics Corp,Plastic-free Electronics Corp faces backlash over its Plant-based initiative.,Positive,100,56,Eco-friendly
Recyclable Beauty Corp,Recyclable Beauty Corp is praised for its Plant-based initiative.,Positive,63,74,Eco-friendly
Zero-waste Oil Corp,Zero-waste Oil Corp faces backlash over its Recycled initiative.,Positive,34,97,Eco-friendly
Glass Electronics Corp,Glass Electronics Corp receives criticism for its Fair-trade initiative.,Positive,65,89,Eco-friendly
Fair-trade Furniture Corp,Fair-trade Furniture Corp launches its Refillable initiative.,Positive,60,87,Eco-friendly
Refillable Food Corp,Refillable Food Corp receives criticism for its Low carbon footprint initiative.,Positive,86,51,Eco-friendly
Refillable Electronics Corp,Refillable Electronics Corp celebrates its Vegan initiative.,Positive,77,40,Eco-friendly
Reusable Shampoo Corp,Reusable Shampoo Corp launches its Recyclable initiative.,Positive,71,80,Eco-friendly
Metal Food Corp,Metal Food Corp faces backlash over its Locally sourced initiative.,Positive,42,92,Eco-friendly
Low carbon footprint Food Corp,Low carbon footprint Food Corp is praised for its Ethical initiative.,Positive,66,46,Eco-friendly
Recycled Packaging Corp,Recycled Packaging Corp launches its Refillable initiative.,Positive,61,82,Eco-friendly
Recycled Beauty Corp,Recycled Beauty Corp receives criticism for its Plant-based initiative.,Positive,32,49,Eco-friendly
Ethical Food Corp,Ethical Food Corp celebrates its Vegan initiative.,Positive,40,97,Eco-friendly
BPA-free Energy Corp,BPA-free Energy Corp receives criticism for its Recycled initiative.,Positive,81,70,Eco-friendly
Organic cotton Energy Corp,Organic cotton Energy Corp celebrates its Organic cotton initiative.,Positive,38,42,Eco-friendly
Natural Clothing Corp,Natural Clothing Corp faces backlash over its Plant-based initiative.,Positive,37,65,Eco-friendly
BPA-free Furniture Corp,BPA-free Furniture Corp launches its Sustainable initiative.,Positive,32,42,Eco-friendly
Natural Cars Corp,Natural Cars Corp receives criticism for its Cruelty-free initiative.,Positive,49,43,Eco-friendly
Plant-based Beauty Corp,Plant-based Beauty Corp receives criticism for its Organic initiative.,Positive,76,41,Eco-friendly
Sustainable Energy Corp,Sustainable Energy Corp faces backlash over its Upcycled initiative.,Positive,36,77,Eco-friendly
Upcycled Oil Corp,Upcycled Oil Corp receives criticism for its Plant-based initiative.,Positive,95,72,Eco-friendly
Ethical Packaging Corp,Ethical Packaging Corp launches its FSC-certified initiative.,Positive,34,56,Eco-friendly
Minimalist Shampoo Corp,Minimalist Shampoo Corp receives criticism for its Wooden initiative.,Positive,39,71,Eco-friendly
Natural Furniture Corp,Natural Furniture Corp receives criticism for its BPA-free initiative.,Positive,90,81,Eco-friendly
FSC-certified Beauty Corp,FSC-certified Beauty Corp faces backlash over its Bamboo initiative.,Positive,98,81,Eco-friendly
Recyclable Shampoo Corp,Recyclable Shampoo Corp faces backlash over its Sustainable initiative.,Positive,89,97,Eco-friendly
Carbon-neutral Beauty Corp,Carbon-neutral Beauty Corp is praised for its Sustainable initiative.,Positive,87,95,Eco-friendly
Refillable Clothing Corp,Refillable Clothing Corp is praised for its Green initiative.,Positive,50,70,Eco-friendly
Natural Food Corp,Natural Food Corp is praised for its Organic cotton initiative.,Positive,52,92,Eco-friendly
Reusable Shampoo Corp,Reusable Shampoo Corp is praised for its Eco-friendly initiative.,Positive,49,81,Eco-friendly
Cruelty-free produc,The Paper Clothing brand has been praised for its fantastic Plastic-free product.,Positive,85,90,Eco-friendly
Sustainable product,"The new Sustainable product has been warmly received, marking a significant achievement.",Positive,80,85,Eco-friendly
Solar-powered product,"We are delighted to unveil our Solar-powered product, a true success in eco-friendly innovation.",Positive,90,95,Eco-friendly
